,id,title,type,description,release_year,genres,production_countries,imdb_score,actors,directors
2014,2014,vir das: losing it,movie,"the world's got a lot of problems, but vir das has a lot of answers as he discusses travel, religion, his childhood and more in this stand-up special.",2018,comedy,us,7,vir-das,marcus-raboy
2015,2015,beyond skyline,movie,"detective mark corley storms his way onto an alien spaceship to rescue his estranged son. when the ship crashes in southeast asia, he forges an alliance with a band of survivors to take back the planet once and for all.",2017,action|scifi|horror|thriller,ca|cn|sg|us|gb|id,5,frank-grillo|bojana-novaković|iko-uwais|callan-mulvey|pamelyn-chee|lindsey-morgan|zarah-mahler|jacob-vargas|antonio-fargas|betty-gabriel|yayan-ruhian|jonny-weston|joanne-baron|kevin-o'donnell|noel-gugliemi|karen-glave|phet-mahathongdy|valentine-payen-wicaksono|very-tri-yulisman,liam-o'donnell
2016,2016,joshua: teenager vs. superpower,movie,"when the chinese communist party backtracks on its promise of autonomy to hong kong, teenager joshua wong decides to save his city. rallying thousands of kids to skip school and occupy the streets, joshua becomes an unlikely leader in hong kong and one of china’s most notorious dissidents.",2017,documentation,us,7,joshua-wong,joe-piscatella
2017,2017,new money,movie,"the movie tells the story of a young girl, who goes from being a shop girl to a billionaire, after her father leaves her his empire to run.",2018,comedy,ng,-1,adeolu-adefarasin|osas-ighodaro|dakore-egbuson-akande|femi-branch|blossom-chukwujekwu|daniel-effiong|wofai-fada|falz|bikiya-graham-douglas|kate-henshaw-nuttal|kalu-ikeagwu|wale-ojo|yolanda-okereke|jemima-osunde,tope-oshin
2018,2018,the outsider,movie,a former american g.i. joins a yakuza family after his release from prison in post-world war ii osaka.,2018,crime|action|drama|thriller,us,6,jared-leto|tadanobu-asano|kippei-shiina|shioli-kutsuna|min-tanaka|nao-omori|emile-hirsch|rory-cochrane|young-dais|masaki-miura|ray-nicholson|yasushi-fuchikami|shun-sugata|hiroya-shimizu|hiro|go-jibiki|eita-okuno|syodai-hori-ren|kohji-katoh|shuna-iijima,martin-zandvliet
2019,2019,mowgli: legend of the jungle,movie,"a human child raised by wolves, must face off against a menacing tiger named shere khan, as well as his own origins.",2018,drama|fantasy,us|gb,6,rohan-chand|christian-bale|andy-serkis|benedict-cumberbatch|cate-blanchett|freida-pinto|naomie-harris|peter-mullan|eddie-marsan|louis-ashbourne-serkis|matthew-rhys|jack-reynor|tom-hollander|keveshan-pillay|jayden-fowora-knight|georgie-farmer|riaz-mansoor|john-benfield,andy-serkis
2020,2020,stretch armstrong & the flex fighters,show,"when overscheduled teenager jake armstrong and his two best friends are accidentally exposed to an experimental chemical, they become stretch armstrong and the flex fighters, a team of unlikely superheroes who expand beyond the confines of their lives and embark on a series of adventures.",2017,animation|action|comedy|scifi,us,6,scott-menville|steven-yeun|keith-david|ogie-banks|wil-wheaton,
2021,2021,calibre,movie,two lifelong friends head up to an isolated scottish highlands village for a weekend hunting trip that descends into a never-ending nightmare as they attempt to cover up a horrific hunting accident.,2018,thriller|drama,gb,7,jack-lowden|martin-mccann|tony-curran|kate-bracken|cal-macaninch|ian-pirie|cameron-jack|george-anton|therese-bradley|joe-cassidy|olivia-morgan|ben-stranahan|rob-mcgillivray|donald-mcleary|kitty-lovett|conor-mccarron,matt-palmer
2022,2022,sierra burgess is a loser,movie,a case of mistaken identity results in unexpected romance when the most popular girl in high school and the biggest loser must come together to win over their crushes.,2018,drama|romance|comedy,us,6,shannon-purser|kristine-froseth|noah-centineo|rj-cyler|chrissy-metz|alice-lee|will-peltz|mario-revolori|joey-morgan|jt-neal|brandon-thomas-lee|lea-thompson|alan-ruck|joey-bell|elizabeth-tovey|shoniqua-shandai|mariam-tovey|wolfgang-novogratz|ashton-smiley|giorgia-whigham|loretta-devine|mary-pat-gleason|matt-malloy|geoff-stults,ian-samuels
2023,2023,"i, potro",movie,former club de cuervos player potro returns home to argentina to crash the wedding of his famous soccer-star brother and confront his estranged family.,2018,comedy|sport,ar|mx,6,joaquín-ferreira|marcela-alvarez|benjamín-alfonso|emilia-claudeville|mauricio-llera|sol-gaschetto|martín-seefeld|martín-rocco|gonzalo-vizan|paula-grinszpan|noemí-frenkel|grego-rossello|juan-tupac-soler|hernán-jiménez,marcos-bucay
2024,2024,somewhere between,show,"laura price, a local news producer in san francisco, is helping the police to hunt down a serial killer. after the killer strikes close to home, a twist of fate allows a “groundhog day”-type reset, and laura relives the week prior to the string of murders. can she change fate and stop the killer?",2017,drama|crime|scifi|thriller,us,6,paula-patton|devon-sawa|jr-bourne|aria-birch,
2025,2025,the good cop,show,"honest cop tony jr. gets advice from his unscrupulous father, retired nypd officer tony sr., about everything from his job to his love life.",2018,comedy|drama|crime|documentation,us,7,josh-groban|tony-danza|monica-barbaro|isiah-whitlock-jr.|bill-kottkamp,
2026,2026,close enemies,movie,"driss and manuel both grew up on the same council estate. an estate where the sense of belonging to your patch is much stronger than the sense of belonging to a country, a nation or a culture... manuel has assimilated this belonging, and he has even benefited from it and built his life on it. driss, meanwhile, has shunned it. they will both have to face up to the consequences of their decisions – because they will each have a price to pay…",2018,drama|thriller|european,be|fr,6,matthias-schoenaerts|reda-kateb|adel-bencherif|sofiane-zermani|sabrina-ouazani|gwendolyn-gourvenec|nicolas-giraud|astrid-whettnall|marc-barbé|yann-goven|ahmed-benaissa|omar-salim|adem-benosmane|noah-benzaquen|michèle-bréant|guillaume-verdier|mustapha-benstiti|simon-ferrante|raphaël-thiéry|johnny-montreuil|djemel-barek|nadir-louatib|aïmen-derriachi|zaire-souchi|kova-réa|arthur-benzaquen|yann-tremblay|malki-attar|maxime-demba|pierre-gomes-tavares|raphael-magnabosco|djamel-lazaar|john-sehil,david-oelhoffen
2027,2027,little miss sumo,movie,"in an ancient sport traditionally reserved for men, 20-year-old female sumo prodigy hiyori attempts to revolutionize japan’s national pastime.",2018,documentation,jp|gb,-1,hiyori-kon,matthew-kay
